Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
9/27/14,walking,walking,2014-09-27T11:56:51+02:00,2014-09-27T11:57:03+02:00,12,0.010,20,0
9/27/14,walking,walking,2014-09-27T12:03:31+02:00,2014-09-27T12:05:10+02:00,99,0.063,126,0
9/27/14,walking,walking,2014-09-27T12:13:53+02:00,2014-09-27T12:22:07+02:00,494,0.552,835,0
9/27/14,walking,walking,2014-09-27T12:22:06+02:00,2014-09-27T12:25:54+02:00,228,0.238,318,0
9/27/14,walking,walking,2014-09-27T12:29:52+02:00,2014-09-27T12:36:31+02:00,399,0.466,704,0
9/27/14,walking,walking,2014-09-27T12:36:31+02:00,2014-09-27T12:36:49+02:00,18,0.012,24,0
9/27/14,walking,walking,2014-09-27T13:31:20+02:00,2014-09-27T13:31:23+02:00,3,0.002,4,0
9/27/14,walking,walking,2014-09-27T14:34:04+02:00,2014-09-27T14:37:19+02:00,195,0.243,324,0
9/27/14,walking,walking,2014-09-27T15:00:15+02:00,2014-09-27T15:06:23+02:00,368,0.514,686,0
9/27/14,walking,walking,2014-09-27T17:22:39+02:00,2014-09-27T17:22:40+02:00,1,0.001,1,0
9/27/14,walking,walking,2014-09-27T18:20:06+02:00,2014-09-27T18:21:15+02:00,69,0.053,105,0
9/27/14,walking,walking,2014-09-27T19:18:51+02:00,2014-09-27T19:18:54+02:00,3,0.002,4,0
9/27/14,walking,walking,2014-09-27T21:54:46+02:00,2014-09-27T21:54:48+02:00,2,0.002,3,0
9/27/14,walking,walking,2014-09-27T22:05:09+02:00,2014-09-27T22:05:41+02:00,32,0.021,42,0
