Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
10/14/14,Place in Studentenwohnheim Karlshof,2014-10-14T00:00:00+02:00,2014-10-14T01:18:24+02:00,4704,49.8831093675,8.6697840805,,
10/14/14,Home,2014-10-14T01:18:24+02:00,2014-10-14T12:18:01+02:00,39577,49.8819996044,8.6702592175,Home,
10/14/14,Place in Darmstadt,2014-10-14T12:22:17+02:00,2014-10-14T13:09:22+02:00,2825,49.8829100725,8.6682008619,,
10/14/14,Place in Darmstadt,2014-10-14T13:32:46+02:00,2014-10-14T13:34:51+02:00,125,49.8736879569,8.6317414267,,
10/14/14,Place in Darmstadt,2014-10-14T13:39:39+02:00,2014-10-14T15:25:44+02:00,6365,49.8727826445,8.6354125494,,
10/14/14,Place in Friedensplatz,2014-10-14T15:39:59+02:00,2014-10-14T15:51:17+02:00,678,49.873520488,8.6540199876,,
10/14/14,KOM Lab,2014-10-14T16:07:53+02:00,2014-10-14T17:39:18+02:00,5485,49.8742715717,8.6605648722,Work,
10/14/14,Place in Boulevard,2014-10-14T17:52:34+02:00,2014-10-14T18:08:33+02:00,959,49.8707852336,8.6532179149,,
10/14/14,Place in Darmstadt,2014-10-14T18:14:03+02:00,2014-10-14T18:21:53+02:00,470,49.8728606643,8.6555974209,,
10/14/14,Home,2014-10-14T18:33:08+02:00,2014-10-14T18:53:21+02:00,1213,49.8819996044,8.6702592175,Home,
10/14/14,Home,2014-10-14T18:56:53+02:00,2014-10-15T00:00:00+02:00,18187,49.8819996044,8.6702592175,Home,
