Date,Type,Name,Start,End,Duration
7/28/14,place,Place in Darmstadt,2014-07-28T00:00:00+02:00,2014-07-28T09:01:34+02:00,32494
7/28/14,move,walking,2014-07-28T09:01:34+02:00,2014-07-28T09:07:09+02:00,335
7/28/14,move,transport,2014-07-28T09:07:09+02:00,2014-07-28T09:14:25+02:00,436
7/28/14,move,walking,2014-07-28T09:14:25+02:00,2014-07-28T09:18:25+02:00,240
7/28/14,place,Place in TU Darmstadt / S2,2014-07-28T09:18:25+02:00,2014-07-28T17:56:45+02:00,31100
7/28/14,move,walking,2014-07-28T17:56:45+02:00,2014-07-28T18:09:27+02:00,762
7/28/14,place,Place in Darmstadt,2014-07-28T18:09:26+02:00,2014-07-28T18:20:19+02:00,653
7/28/14,move,transport,2014-07-28T18:20:19+02:00,2014-07-28T18:22:44+02:00,145
7/28/14,move,walking,2014-07-28T18:22:45+02:00,2014-07-28T18:28:49+02:00,364
7/28/14,place,Place in Darmstadt,2014-07-28T18:28:49+02:00,2014-07-29T00:00:00+02:00,19871
