Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/1/14,walking,walking,2014-10-01T00:08:41+02:00,2014-10-01T00:08:50+02:00,9,0.006,12,0
10/1/14,walking,walking,2014-10-01T10:29:43+02:00,2014-10-01T10:29:52+02:00,9,0.006,12,0
10/1/14,walking,walking,2014-10-01T12:09:00+02:00,2014-10-01T12:09:10+02:00,10,0.007,13,0
10/1/14,walking,walking,2014-10-01T13:35:15+02:00,2014-10-01T13:35:21+02:00,6,0.004,8,0
10/1/14,walking,walking,2014-10-01T14:07:08+02:00,2014-10-01T14:07:13+02:00,5,0.004,7,0
10/1/14,walking,walking,2014-10-01T15:30:29+02:00,2014-10-01T15:30:35+02:00,6,0.005,10,0
10/1/14,walking,walking,2014-10-01T16:11:04+02:00,2014-10-01T16:11:26+02:00,22,0.016,31,0
10/1/14,walking,walking,2014-10-01T17:21:12+02:00,2014-10-01T17:22:12+02:00,60,0.035,70,0
10/1/14,walking,walking,2014-10-01T19:32:10+02:00,2014-10-01T19:32:49+02:00,39,0.031,62,0
10/1/14,walking,walking,2014-10-01T20:29:46+02:00,2014-10-01T20:30:09+02:00,23,0.015,30,0
10/1/14,walking,walking,2014-10-01T21:02:14+02:00,2014-10-01T21:02:52+02:00,38,0.029,58,0
10/1/14,walking,walking,2014-10-01T22:00:03+02:00,2014-10-01T22:02:56+02:00,173,0.177,236,0
10/1/14,walking,walking,2014-10-01T23:15:53+02:00,2014-10-01T23:16:42+02:00,49,0.033,66,0
10/2/14,walking,walking,2014-10-02T00:17:34+02:00,2014-10-02T00:18:04+02:00,30,0.015,30,0
10/2/14,walking,walking,2014-10-02T01:28:47+02:00,2014-10-02T01:29:07+02:00,20,0.011,22,0
10/2/14,walking,walking,2014-10-02T10:44:54+02:00,2014-10-02T10:46:54+02:00,120,0.080,160,0
10/2/14,walking,walking,2014-10-02T11:00:10+02:00,2014-10-02T11:01:18+02:00,68,0.043,86,0
10/2/14,walking,walking,2014-10-02T12:39:51+02:00,2014-10-02T12:40:03+02:00,12,0.007,15,0
10/2/14,transport,transport,2014-10-02T12:52:49+02:00,2014-10-02T12:54:58+02:00,129,0.537,0,0
10/2/14,walking,walking,2014-10-02T12:55:08+02:00,2014-10-02T12:57:07+02:00,119,0.081,162,0
10/2/14,walking,walking,2014-10-02T13:00:07+02:00,2014-10-02T13:02:45+02:00,158,0.167,223,0
10/2/14,cycling,cycling,2014-10-02T13:06:43+02:00,2014-10-02T13:09:34+02:00,171,0.449,0,0
10/2/14,walking,walking,2014-10-02T13:09:34+02:00,2014-10-02T13:14:40+02:00,306,0.312,416,0
10/2/14,walking,walking,2014-10-02T14:10:18+02:00,2014-10-02T14:11:00+02:00,42,0.028,56,0
10/2/14,walking,walking,2014-10-02T15:03:31+02:00,2014-10-02T15:03:39+02:00,8,0.006,12,0
10/2/14,walking,walking,2014-10-02T16:37:09+02:00,2014-10-02T16:39:36+02:00,147,0.151,201,0
10/2/14,walking,walking,2014-10-02T17:00:11+02:00,2014-10-02T17:00:47+02:00,36,0.018,24,0
10/2/14,walking,walking,2014-10-02T19:14:20+02:00,2014-10-02T19:16:20+02:00,120,0.078,157,0
10/2/14,walking,walking,2014-10-02T20:46:45+02:00,2014-10-02T20:46:47+02:00,2,0.002,3,0
10/2/14,walking,walking,2014-10-02T21:09:55+02:00,2014-10-02T21:10:48+02:00,53,0.036,72,0
10/2/14,walking,walking,2014-10-02T22:42:57+02:00,2014-10-02T22:45:04+02:00,127,0.126,168,0
10/2/14,walking,walking,2014-10-02T23:11:56+02:00,2014-10-02T23:18:55+02:00,419,0.465,619,0
10/3/14,walking,walking,2014-10-03T01:56:59+02:00,2014-10-03T01:57:00+02:00,1,0.001,1,0
10/3/14,walking,walking,2014-10-03T10:12:43+02:00,2014-10-03T10:12:44+02:00,1,0.001,1,0
10/3/14,walking,walking,2014-10-03T14:42:11+02:00,2014-10-03T14:43:41+02:00,90,0.054,108,0
10/3/14,walking,walking,2014-10-03T15:07:58+02:00,2014-10-03T15:10:07+02:00,129,0.130,173,0
10/3/14,walking,walking,2014-10-03T16:03:29+02:00,2014-10-03T16:04:35+02:00,66,0.040,80,0
10/3/14,walking,walking,2014-10-03T18:13:51+02:00,2014-10-03T18:13:52+02:00,1,0.001,1,0
10/3/14,walking,walking,2014-10-03T20:34:25+02:00,2014-10-03T20:34:31+02:00,6,0.004,8,0
10/3/14,walking,walking,2014-10-03T21:34:59+02:00,2014-10-03T21:43:02+02:00,483,0.559,745,0
10/3/14,walking,walking,2014-10-03T22:04:40+02:00,2014-10-03T22:04:47+02:00,7,0.005,9,0
10/4/14,walking,walking,2014-10-04T00:25:32+02:00,2014-10-04T00:25:44+02:00,12,0.009,17,0
10/4/14,walking,walking,2014-10-04T01:11:33+02:00,2014-10-04T01:11:50+02:00,17,0.012,23,0
10/4/14,walking,walking,2014-10-04T02:29:48+02:00,2014-10-04T02:30:18+02:00,30,0.015,30,0
10/4/14,walking,walking,2014-10-04T10:01:16+02:00,2014-10-04T10:03:14+02:00,118,0.079,157,0
10/4/14,walking,walking,2014-10-04T11:16:21+02:00,2014-10-04T11:16:34+02:00,13,0.007,15,0
10/4/14,walking,walking,2014-10-04T14:09:58+02:00,2014-10-04T14:11:43+02:00,105,0.071,143,0
10/4/14,walking,walking,2014-10-04T15:38:06+02:00,2014-10-04T15:38:07+02:00,1,0.001,1,0
10/4/14,walking,walking,2014-10-04T16:33:21+02:00,2014-10-04T16:33:29+02:00,8,0.005,9,0
10/4/14,walking,walking,2014-10-04T17:44:24+02:00,2014-10-04T17:44:26+02:00,2,0.002,3,0
