Date,Activity,Group,Duration,Distance,Steps,Calories
7/1/14,walking,walking,8598,9.836,13234,0
7/1/14,transport,transport,1467,4.408,0,0
7/2/14,walking,walking,3329,4.011,5246,0
7/2/14,transport,transport,1561,5.742,0,0
7/3/14,walking,walking,2576,3.187,4159,0
7/3/14,transport,transport,390,1.101,0,0
7/3/14,cycling,cycling,1271,4.718,0,0
7/4/14,walking,walking,7709,6.796,10960,0
7/4/14,transport,transport,1905,6.754,0,0
7/5/14,walking,walking,1750,1.905,2560,0
7/5/14,cycling,cycling,1733,6.832,0,0
7/6/14,walking,walking,152,0.084,134,0
7/7/14,walking,walking,7962,8.825,12057,0
7/8/14,walking,walking,4396,4.553,7168,0
7/8/14,transport,transport,1078,3.657,0,0
7/9/14,walking,walking,3533,4.292,5467,0
7/10/14,walking,walking,6995,9.679,12010,0
7/10/14,transport,transport,2570,33.046,0,0
7/10/14,running,running,121,0.418,319,0
7/11/14,walking,walking,4340,3.944,6433,0
7/11/14,transport,transport,396,0.690,0,0
7/12/14,walking,walking,5154,5.242,8375,0
7/12/14,transport,transport,388,1.536,0,0
7/13/14,walking,walking,3266,4.174,5463,0
7/14/14,walking,walking,2890,2.791,4790,0
7/14/14,transport,transport,1099,3.375,0,0
7/15/14,walking,walking,6337,6.384,9689,0
7/15/14,transport,transport,549,1.944,0,0
7/16/14,walking,walking,1256,1.301,2077,0
7/16/14,transport,transport,426,1.064,0,0
7/17/14,walking,walking,3723,4.939,5958,0
7/18/14,walking,walking,641,0.581,992,0
7/19/14,walking,walking,1772,1.762,2567,0
7/20/14,walking,walking,260,0.173,342,0
7/21/14,walking,walking,4720,4.804,7790,0
7/21/14,transport,transport,381,0.957,0,0
7/22/14,walking,walking,2418,2.224,3735,0
7/22/14,transport,transport,1584,5.068,0,0
7/23/14,walking,walking,2152,1.951,3048,0
7/23/14,transport,transport,524,2.871,0,0
7/24/14,walking,walking,350,0.349,500,0
7/25/14,walking,walking,2736,2.881,4189,0
7/25/14,transport,transport,838,2.000,0,0
7/26/14,walking,walking,293,0.242,447,0
7/27/14,walking,walking,5146,4.942,8060,0
7/27/14,transport,transport,844,2.096,0,0
7/28/14,walking,walking,2211,2.684,3300,0
7/28/14,transport,transport,581,1.706,0,0
7/29/14,walking,walking,4292,4.681,6761,0
7/29/14,cycling,cycling,467,1.621,0,0
7/30/14,walking,walking,4381,5.180,6804,0
7/30/14,transport,transport,1698,5.562,0,0
7/30/14,cycling,cycling,1680,5.729,0,0
7/31/14,walking,walking,6312,7.968,10384,0
7/31/14,transport,transport,305,0.799,0,0
