Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
7/28/14,walking,walking,2014-07-28T08:15:46+02:00,2014-07-28T08:16:07+02:00,21,0.020,41,0
7/28/14,walking,walking,2014-07-28T09:00:08+02:00,2014-07-28T09:00:20+02:00,12,0.008,17,0
7/28/14,walking,walking,2014-07-28T09:01:34+02:00,2014-07-28T09:07:09+02:00,335,0.389,536,0
7/28/14,transport,transport,2014-07-28T09:07:09+02:00,2014-07-28T09:14:25+02:00,436,0.950,0,0
7/28/14,walking,walking,2014-07-28T09:14:25+02:00,2014-07-28T09:18:25+02:00,240,0.513,432,0
7/28/14,walking,walking,2014-07-28T09:18:25+02:00,2014-07-28T09:22:15+02:00,230,0.283,378,0
7/28/14,walking,walking,2014-07-28T10:37:20+02:00,2014-07-28T10:37:22+02:00,2,0.001,2,0
7/28/14,walking,walking,2014-07-28T14:24:52+02:00,2014-07-28T14:25:13+02:00,21,0.015,29,0
7/28/14,walking,walking,2014-07-28T17:00:50+02:00,2014-07-28T17:02:49+02:00,119,0.079,158,0
7/28/14,walking,walking,2014-07-28T17:56:45+02:00,2014-07-28T18:09:27+02:00,762,0.605,994,0
7/28/14,walking,walking,2014-07-28T18:09:26+02:00,2014-07-28T18:10:25+02:00,59,0.035,70,0
7/28/14,transport,transport,2014-07-28T18:20:19+02:00,2014-07-28T18:22:44+02:00,145,0.756,0,0
7/28/14,walking,walking,2014-07-28T18:22:45+02:00,2014-07-28T18:28:49+02:00,364,0.710,592,0
7/28/14,walking,walking,2014-07-28T18:28:49+02:00,2014-07-28T18:29:03+02:00,14,0.009,18,0
7/28/14,walking,walking,2014-07-28T22:40:59+02:00,2014-07-28T22:41:31+02:00,32,0.017,33,0
7/29/14,walking,walking,2014-07-29T08:20:59+02:00,2014-07-29T08:40:30+02:00,1171,1.583,2028,0
7/29/14,walking,walking,2014-07-29T08:41:18+02:00,2014-07-29T08:41:26+02:00,8,0.005,10,0
7/29/14,walking,walking,2014-07-29T09:19:38+02:00,2014-07-29T09:22:06+02:00,148,0.151,201,0
7/29/14,walking,walking,2014-07-29T11:17:55+02:00,2014-07-29T11:21:48+02:00,233,0.233,311,0
7/29/14,walking,walking,2014-07-29T12:04:10+02:00,2014-07-29T12:04:21+02:00,11,0.007,14,0
7/29/14,walking,walking,2014-07-29T12:04:46+02:00,2014-07-29T12:18:16+02:00,810,0.928,1219,0
7/29/14,walking,walking,2014-07-29T12:34:41+02:00,2014-07-29T12:36:00+02:00,79,0.050,100,0
7/29/14,walking,walking,2014-07-29T12:57:29+02:00,2014-07-29T13:11:37+02:00,848,0.824,1492,0
7/29/14,walking,walking,2014-07-29T14:14:35+02:00,2014-07-29T14:16:07+02:00,92,0.057,114,0
7/29/14,walking,walking,2014-07-29T20:13:17+02:00,2014-07-29T20:14:45+02:00,88,0.061,121,0
7/29/14,cycling,cycling,2014-07-29T20:15:55+02:00,2014-07-29T20:19:28+02:00,213,0.955,0,0
7/29/14,walking,walking,2014-07-29T20:20:52+02:00,2014-07-29T20:26:31+02:00,339,0.360,479,0
7/29/14,cycling,cycling,2014-07-29T20:35:49+02:00,2014-07-29T20:40:03+02:00,254,0.666,0,0
7/29/14,walking,walking,2014-07-29T20:40:04+02:00,2014-07-29T20:40:27+02:00,23,0.016,31,0
7/29/14,walking,walking,2014-07-29T21:27:16+02:00,2014-07-29T21:32:07+02:00,291,0.219,392,0
7/29/14,walking,walking,2014-07-29T23:45:27+02:00,2014-07-29T23:47:58+02:00,151,0.187,249,0
7/30/14,walking,walking,2014-07-30T00:00:00+02:00,2014-07-30T00:00:17+02:00,17,0.017,33,0
7/30/14,walking,walking,2014-07-30T00:00:17+02:00,2014-07-30T00:01:59+02:00,102,0.084,167,0
7/30/14,walking,walking,2014-07-30T01:35:49+02:00,2014-07-30T01:36:26+02:00,37,0.018,29,0
7/30/14,walking,walking,2014-07-30T09:32:14+02:00,2014-07-30T09:36:40+02:00,266,0.361,478,0
7/30/14,transport,transport,2014-07-30T09:36:39+02:00,2014-07-30T09:42:01+02:00,322,0.692,0,0
7/30/14,walking,walking,2014-07-30T09:42:01+02:00,2014-07-30T09:53:05+02:00,664,0.869,976,0
