Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
7/14/14,Place in Darmstadt,2014-07-14T00:00:00+02:00,2014-07-14T00:15:11+02:00,911,49.8726261215,8.649758177,,
7/14/14,Place in Darmstadt,2014-07-14T00:40:31+02:00,2014-07-14T11:14:23+02:00,38032,49.8819681239,8.6703339401,,
7/14/14,Place in TU Darmstadt,2014-07-14T11:33:30+02:00,2014-07-14T13:16:30+02:00,6180,49.8734474315,8.6604081896,,
7/14/14,Place in Darmstadt,2014-07-14T13:34:41+02:00,2014-07-15T00:00:00+02:00,37519,49.8819681239,8.6703339401,,
7/15/14,Place in Darmstadt,2014-07-15T00:00:00+02:00,2014-07-15T08:33:54+02:00,30834,49.8819681239,8.6703339401,,
7/15/14,Place in TU Darmstadt / S1,2014-07-15T08:49:32+02:00,2014-07-15T11:07:45+02:00,8293,49.876159775,8.6572254169,,
7/15/14,Place in TU Darmstadt / S2,2014-07-15T11:14:29+02:00,2014-07-15T12:04:31+02:00,3002,49.877662904,8.654577692,,
7/15/14,Place in TU Darmstadt / S2,2014-07-15T12:05:40+02:00,2014-07-15T12:11:26+02:00,346,49.877662904,8.654577692,,
7/15/14,Place in TU Darmstadt / S1,2014-07-15T12:16:49+02:00,2014-07-15T15:17:24+02:00,10835,49.876159775,8.6572254169,,
7/15/14,Place in TU Darmstadt / S2,2014-07-15T15:28:09+02:00,2014-07-15T17:23:04+02:00,6895,49.877662904,8.654577692,,
7/15/14,Place in TU Darmstadt / S1,2014-07-15T17:34:10+02:00,2014-07-15T19:23:00+02:00,6530,49.876159775,8.6572254169,,
7/15/14,Place in Darmstadt,2014-07-15T19:40:11+02:00,2014-07-16T00:00:00+02:00,15589,49.8819681239,8.6703339401,,
7/16/14,Place in Darmstadt,2014-07-16T00:00:00+02:00,2014-07-16T13:14:58+02:00,47698,49.8819681239,8.6703339401,,
7/16/14,Place in TU Darmstadt,2014-07-16T13:31:25+02:00,2014-07-16T14:39:40+02:00,4095,49.8734474315,8.6604081896,,
7/16/14,Place in Darmstadt,2014-07-16T17:30:01+02:00,2014-07-16T22:01:49+02:00,16308,49.8819681239,8.6703339401,,
7/16/14,Place in Darmstadt,2014-07-16T22:06:41+02:00,2014-07-16T23:43:05+02:00,5784,49.8829100725,8.6682008619,,
7/16/14,Place in Darmstadt,2014-07-16T23:46:12+02:00,2014-07-17T00:00:00+02:00,828,49.8819681239,8.6703339401,,
7/17/14,Place in Darmstadt,2014-07-17T00:00:00+02:00,2014-07-17T13:40:55+02:00,49255,49.8819681239,8.6703339401,,
7/17/14,Place in TU Darmstadt / S1,2014-07-17T13:52:51+02:00,2014-07-17T20:08:54+02:00,22563,49.876159775,8.6572254169,,
7/17/14,Place in Darmstadt,2014-07-17T20:20:34+02:00,2014-07-17T20:25:29+02:00,295,49.8780739922,8.6606238486,,
7/17/14,Place in Darmstadt,2014-07-17T20:31:39+02:00,2014-07-18T00:00:00+02:00,12501,49.8819681239,8.6703339401,,
7/18/14,Place in Darmstadt,2014-07-18T00:00:00+02:00,2014-07-18T22:42:29+02:00,81749,49.8819681239,8.6703339401,,
7/18/14,Place in Darmstadt,2014-07-18T22:47:51+02:00,2014-07-19T00:00:00+02:00,4329,49.8829100725,8.6682008619,,
7/19/14,Place in Darmstadt,2014-07-19T00:00:00+02:00,2014-07-19T01:19:42+02:00,4782,49.8829100725,8.6682008619,,
7/19/14,Place in Darmstadt,2014-07-19T01:23:10+02:00,2014-07-19T20:09:56+02:00,67606,49.8819681239,8.6703339401,,
7/19/14,Place in Darmstadt,2014-07-19T20:14:38+02:00,2014-07-20T00:00:00+02:00,13522,49.8819681239,8.6703339401,,
7/20/14,Place in Darmstadt,2014-07-20T00:00:00+02:00,2014-07-21T00:00:00+02:00,86400,49.8819681239,8.6703339401,,
