Date,Type,Name,Start,End,Duration
10/27/14,place,Volleyball field of Karlshof,2014-10-27T00:00:00+01:00,2014-10-27T08:30:46+01:00,30646
10/27/14,move,walking,2014-10-27T08:30:46+01:00,2014-10-27T08:39:21+01:00,515
10/27/14,place,Place in Darmstadt,2014-10-27T08:39:21+01:00,2014-10-27T08:43:11+01:00,230
10/27/14,move,walking,2014-10-27T08:43:11+01:00,2014-10-27T08:49:26+01:00,375
10/27/14,place,Home,2014-10-27T08:49:26+01:00,2014-10-27T10:43:20+01:00,6834
10/27/14,move,walking,2014-10-27T10:43:20+01:00,2014-10-27T10:48:50+01:00,330
10/27/14,move,transport,2014-10-27T10:48:50+01:00,2014-10-27T10:56:00+01:00,430
10/27/14,move,walking,2014-10-27T10:55:59+01:00,2014-10-27T11:00:04+01:00,245
10/27/14,place,KOM Lab,2014-10-27T11:00:03+01:00,2014-10-27T11:31:26+01:00,1883
10/27/14,move,walking,2014-10-27T11:31:26+01:00,2014-10-27T11:36:03+01:00,277
10/27/14,place,Place in Darmstadt,2014-10-27T11:36:03+01:00,2014-10-27T11:39:52+01:00,229
10/27/14,move,walking,2014-10-27T11:39:52+01:00,2014-10-27T11:47:34+01:00,462
10/27/14,place,Place in Darmstadt,2014-10-27T11:47:34+01:00,2014-10-27T11:59:43+01:00,729
10/27/14,move,transport,2014-10-27T11:59:43+01:00,2014-10-27T12:04:42+01:00,299
10/27/14,move,walking,2014-10-27T12:04:41+01:00,2014-10-27T12:14:07+01:00,566
10/27/14,place,Consetto,2014-10-27T12:14:07+01:00,2014-10-27T17:31:48+01:00,19061
10/27/14,move,walking,2014-10-27T17:31:48+01:00,2014-10-27T17:38:37+01:00,409
10/27/14,place,Place in Darmstadt,2014-10-27T17:38:37+01:00,2014-10-27T17:49:24+01:00,647
10/27/14,move,transport,2014-10-27T17:49:24+01:00,2014-10-27T18:06:25+01:00,1021
10/27/14,move,walking,2014-10-27T18:06:24+01:00,2014-10-27T18:11:57+01:00,333
10/27/14,place,Home,2014-10-27T18:11:57+01:00,2014-10-27T19:45:31+01:00,5614
10/27/14,move,walking,2014-10-27T19:45:31+01:00,2014-10-27T19:49:12+01:00,221
10/27/14,place,Volleyball field of Karlshof,2014-10-27T19:49:13+01:00,2014-10-27T22:41:57+01:00,10364
10/27/14,move,walking,2014-10-27T22:41:57+01:00,2014-10-27T22:46:16+01:00,259
10/27/14,place,Home,2014-10-27T22:46:16+01:00,2014-10-28T00:00:00+01:00,4424
10/28/14,place,Home,2014-10-28T00:00:00+01:00,2014-10-28T08:47:03+01:00,31623
10/28/14,move,walking,2014-10-28T08:47:03+01:00,2014-10-28T08:51:10+01:00,247
10/28/14,move,transport,2014-10-28T08:51:10+01:00,2014-10-28T08:57:09+01:00,359
10/28/14,move,walking,2014-10-28T08:57:09+01:00,2014-10-28T09:01:40+01:00,271
10/28/14,place,KOM Lab,2014-10-28T09:01:40+01:00,2014-10-28T09:33:43+01:00,1923
10/28/14,move,walking,2014-10-28T09:33:43+01:00,2014-10-28T09:44:27+01:00,644
10/28/14,place,Place in Otto-Berndt-Halle/Mensa,2014-10-28T09:44:27+01:00,2014-10-28T09:54:20+01:00,593
10/28/14,move,walking,2014-10-28T09:54:20+01:00,2014-10-28T10:15:34+01:00,1274
10/28/14,place,Volleyball field of Karlshof,2014-10-28T10:15:34+01:00,2014-10-28T12:41:55+01:00,8781
10/28/14,move,walking,2014-10-28T12:41:55+01:00,2014-10-28T12:47:05+01:00,310
10/28/14,place,H Karlshof,2014-10-28T12:47:05+01:00,2014-10-28T12:52:45+01:00,340
10/28/14,move,transport,2014-10-28T12:52:45+01:00,2014-10-28T12:56:29+01:00,224
10/28/14,move,walking,2014-10-28T12:56:29+01:00,2014-10-28T13:00:14+01:00,225
10/28/14,place,KOM Lab,2014-10-28T13:00:14+01:00,2014-10-28T18:42:07+01:00,20513
10/28/14,move,walking,2014-10-28T18:42:07+01:00,2014-10-28T18:46:41+01:00,274
10/28/14,place,KOM Lab,2014-10-28T18:46:42+01:00,2014-10-28T18:52:11+01:00,329
10/28/14,move,transport,2014-10-28T18:52:11+01:00,2014-10-28T18:57:47+01:00,336
10/28/14,move,walking,2014-10-28T18:57:47+01:00,2014-10-28T19:03:53+01:00,366
10/28/14,place,Place in Darmstadt,2014-10-28T19:03:52+01:00,2014-10-28T19:07:46+01:00,234
10/28/14,move,walking,2014-10-28T19:07:46+01:00,2014-10-28T19:13:15+01:00,329
10/28/14,place,Home,2014-10-28T19:13:14+01:00,2014-10-29T00:00:00+01:00,17206
10/29/14,place,Home,2014-10-29T00:00:00+01:00,2014-10-29T03:29:44+01:00,12584
10/29/14,place,Home,2014-10-29T08:34:03+01:00,2014-10-29T10:16:16+01:00,6133
10/29/14,move,walking,2014-10-29T10:16:16+01:00,2014-10-29T10:20:54+01:00,278
10/29/14,move,transport,2014-10-29T10:20:54+01:00,2014-10-29T10:26:27+01:00,333
10/29/14,move,walking,2014-10-29T10:26:27+01:00,2014-10-29T10:30:24+01:00,237
10/29/14,place,KOM Lab,2014-10-29T10:30:24+01:00,2014-10-29T11:34:39+01:00,3855
10/29/14,move,walking,2014-10-29T11:34:39+01:00,2014-10-29T11:42:51+01:00,492
10/29/14,place,Place in TU Darmstadt / S1,2014-10-29T11:42:51+01:00,2014-10-29T13:21:41+01:00,5930
10/29/14,move,walking,2014-10-29T13:21:41+01:00,2014-10-29T13:33:21+01:00,700
10/29/14,place,Place in Friedensplatz,2014-10-29T13:33:21+01:00,2014-10-29T13:59:21+01:00,1560
10/29/14,move,transport,2014-10-29T13:59:21+01:00,2014-10-29T14:03:50+01:00,269
10/29/14,move,walking,2014-10-29T14:03:49+01:00,2014-10-29T14:12:53+01:00,544
10/29/14,place,Consetto,2014-10-29T14:12:53+01:00,2014-10-29T17:09:23+01:00,10590
10/29/14,move,walking,2014-10-29T17:09:23+01:00,2014-10-29T17:15:16+01:00,353
10/29/14,move,transport,2014-10-29T17:15:16+01:00,2014-10-29T17:39:16+01:00,1440
10/29/14,move,walking,2014-10-29T17:39:16+01:00,2014-10-29T17:48:52+01:00,576
10/29/14,place,Place in Darmstadt,2014-10-29T17:48:52+01:00,2014-10-29T19:08:46+01:00,4794
10/29/14,move,walking,2014-10-29T19:08:46+01:00,2014-10-29T19:11:00+01:00,134
10/29/14,place,Place in Darmstadt,2014-10-29T19:10:59+01:00,2014-10-30T00:00:00+01:00,17341
10/30/14,place,Place in Darmstadt,2014-10-30T00:00:00+01:00,2014-10-30T08:35:06+01:00,30906
10/30/14,move,walking,2014-10-30T08:35:06+01:00,2014-10-30T08:36:50+01:00,104
10/30/14,move,transport,2014-10-30T08:36:50+01:00,2014-10-30T08:39:30+01:00,160
10/30/14,move,walking,2014-10-30T08:39:30+01:00,2014-10-30T08:46:27+01:00,417
10/30/14,place,Place in TU Darmstadt / S2,2014-10-30T08:46:27+01:00,2014-10-30T12:11:06+01:00,12279
10/30/14,move,walking,2014-10-30T12:11:06+01:00,2014-10-30T12:19:15+01:00,489
