Date,Activity,Group,Duration,Distance,Steps,Calories
10/6/14,walking,walking,2279,2.667,3483,0
10/6/14,transport,transport,520,0.925,0,0
10/7/14,walking,walking,2079,3.213,3236,0
10/7/14,transport,transport,563,1.539,0,0
10/8/14,walking,walking,668,0.519,803,0
10/9/14,walking,walking,5313,6.570,8369,0
10/9/14,transport,transport,965,3.576,0,0
10/10/14,walking,walking,8150,8.891,11271,0
10/10/14,transport,transport,17629,268.789,0,0
10/11/14,walking,walking,3299,3.431,4860,0
10/12/14,walking,walking,842,0.772,1089,0
