Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
6/26/14,Place in Darmstadt,2014-06-26T00:09:31+02:00,2014-06-26T10:23:19+02:00,36828,49.8819681239,8.6703339401,,
6/26/14,Place in Darmstadt,2014-06-26T10:30:58+02:00,2014-06-27T00:00:00+02:00,48542,49.8819681239,8.6703339401,,
6/27/14,Place in Darmstadt,2014-06-27T00:00:00+02:00,2014-06-27T01:54:17+02:00,6857,49.8819681239,8.6703339401,,
6/27/14,Place in TU Darmstadt / S2,2014-06-27T10:19:35+02:00,2014-06-27T13:17:23+02:00,10668,49.877662904,8.654577692,,
6/27/14,Place in Darmstadt,2014-06-27T13:38:30+02:00,2014-06-27T16:30:40+02:00,10330,49.8819681239,8.6703339401,,
6/27/14,Volleyball field of Karlshof,2014-06-27T16:37:41+02:00,2014-06-27T16:40:23+02:00,162,49.8826210232,8.6675185755,,
6/27/14,Place in TU Darmstadt / S2,2014-06-27T16:49:49+02:00,2014-06-27T17:57:10+02:00,4041,49.877662904,8.654577692,,
6/27/14,Place in TU Darmstadt / S1,2014-06-27T18:05:15+02:00,2014-06-27T20:48:05+02:00,9770,49.8763206317,8.6568254738,,
6/27/14,Place in Darmstadt,2014-06-27T20:54:45+02:00,2014-06-27T21:03:25+02:00,520,49.87574567,8.6603071569,,
6/27/14,Place in Darmstadt,2014-06-27T21:12:15+02:00,2014-06-28T00:00:00+02:00,10065,49.8821677347,8.6695544869,,
6/28/14,Place in Darmstadt,2014-06-28T00:00:00+02:00,2014-06-28T09:12:41+02:00,33161,49.8821677347,8.6695544869,,
6/28/14,Place in Darmstadt,2014-06-28T09:34:16+02:00,2014-06-28T09:37:54+02:00,218,49.8671870516,8.6601518926,,
6/28/14,Place in Darmstadt,2014-06-28T09:40:56+02:00,2014-06-28T09:44:23+02:00,207,49.8687438908,8.6696436692,,
6/28/14,Place in Darmstadt,2014-06-28T09:54:24+02:00,2014-06-28T11:03:46+02:00,4162,49.8819681239,8.6703339401,,
6/28/14,Place in Darmstadt,2014-06-28T11:18:06+02:00,2014-06-28T11:28:07+02:00,601,49.8800201458,8.664212557,,
6/28/14,Place in Darmstadt,2014-06-28T11:44:19+02:00,2014-06-28T12:29:49+02:00,2730,49.8819681239,8.6703339401,,
6/28/14,Place in Darmstadt,2014-06-28T12:33:10+02:00,2014-06-28T16:47:23+02:00,15253,49.8829100725,8.6682008619,,
6/28/14,Place in Darmstadt,2014-06-28T16:51:34+02:00,2014-06-28T17:05:54+02:00,860,49.8819681239,8.6703339401,,
6/28/14,Place in Darmstadt,2014-06-28T17:19:58+02:00,2014-06-28T18:02:54+02:00,2576,49.8829100725,8.6682008619,,
6/28/14,Place in Darmstadt,2014-06-28T18:52:33+02:00,2014-06-29T00:00:00+02:00,18447,49.8819681239,8.6703339401,,
6/29/14,Place in Darmstadt,2014-06-29T00:00:00+02:00,2014-06-29T13:51:27+02:00,49887,49.8819681239,8.6703339401,,
6/29/14,Place in Darmstadt,2014-06-29T13:54:04+02:00,2014-06-29T20:33:14+02:00,23950,49.8829100725,8.6682008619,,
6/29/14,Place in Darmstadt,2014-06-29T20:37:16+02:00,2014-06-30T00:00:00+02:00,12164,49.8819681239,8.6703339401,,
6/30/14,Place in Darmstadt,2014-06-30T00:00:00+02:00,2014-06-30T09:31:56+02:00,34316,49.8819681239,8.6703339401,,
6/30/14,Place in Darmstadt,2014-06-30T09:31:57+02:00,2014-06-30T09:42:11+02:00,614,49.8822491921,8.6660203318,,
6/30/14,Place in TU Darmstadt / S2,2014-06-30T09:54:07+02:00,2014-06-30T11:26:12+02:00,5525,49.877662904,8.654577692,,
6/30/14,Place in TU Darmstadt,2014-06-30T11:33:47+02:00,2014-06-30T13:25:42+02:00,6715,49.8734474315,8.6604081896,,
6/30/14,Place in TU Darmstadt / S2,2014-06-30T13:34:06+02:00,2014-06-30T14:45:44+02:00,4298,49.877662904,8.654577692,,
6/30/14,Place in TU Darmstadt,2014-06-30T14:54:00+02:00,2014-06-30T14:59:30+02:00,330,49.8734474315,8.6604081896,,
6/30/14,Place in Darmstadt,2014-06-30T15:04:01+02:00,2014-06-30T15:08:09+02:00,248,49.8782352741,8.6614707478,,
6/30/14,Place in Darmstadt,2014-06-30T15:13:37+02:00,2014-06-30T18:24:34+02:00,11457,49.8819681239,8.6703339401,,
6/30/14,Place in Darmstadt,2014-06-30T18:52:14+02:00,2014-07-01T00:00:00+02:00,18466,49.8819681239,8.6703339401,,
7/1/14,Place in Darmstadt,2014-07-01T00:00:00+02:00,2014-07-01T08:43:19+02:00,31399,49.8819681239,8.6703339401,,
7/1/14,Place in TU Darmstadt / S2,2014-07-01T08:50:15+02:00,2014-07-01T13:06:59+02:00,15404,49.877662904,8.654577692,,
7/1/14,Place in TU Darmstadt / S2,2014-07-01T13:13:02+02:00,2014-07-01T15:15:09+02:00,7327,49.877662904,8.654577692,,
7/1/14,Place in TU Darmstadt / S2,2014-07-01T15:19:05+02:00,2014-07-01T15:28:10+02:00,545,49.877662904,8.654577692,,
7/1/14,Place in Europaplatz,2014-07-01T15:46:21+02:00,2014-07-01T15:50:21+02:00,240,49.8725029818,8.6276204882,,
7/1/14,Place in Darmstadt,2014-07-01T16:26:42+02:00,2014-07-01T16:59:42+02:00,1980,49.8707887592,8.6250159454,,
7/1/14,Place in Darmstadt,2014-07-01T17:10:40+02:00,2014-07-01T17:15:54+02:00,314,49.8722318034,8.6316007022,,
7/1/14,Place in TU Darmstadt / S2,2014-07-01T17:35:46+02:00,2014-07-01T18:33:42+02:00,3476,49.877662904,8.654577692,,
7/1/14,Place in Darmstadt,2014-07-01T18:55:35+02:00,2014-07-01T22:41:47+02:00,13572,49.8819681239,8.6703339401,,
7/1/14,Place in Darmstadt,2014-07-01T22:45:17+02:00,2014-07-01T23:26:05+02:00,2448,49.8829100725,8.6682008619,,
7/1/14,Place in Darmstadt,2014-07-01T23:28:43+02:00,2014-07-02T00:00:00+02:00,1877,49.8819681239,8.6703339401,,
7/2/14,Place in Darmstadt,2014-07-02T00:00:00+02:00,2014-07-02T13:58:46+02:00,50326,49.8819681239,8.6703339401,,
7/2/14,Place in Darmstadt,2014-07-02T14:03:59+02:00,2014-07-02T14:09:55+02:00,356,49.8822491921,8.6660203318,,
7/2/14,Place in Darmstadt,2014-07-02T14:22:44+02:00,2014-07-02T14:27:27+02:00,283,49.8728270312,8.6551163231,,
7/2/14,Place in Darmstadt,2014-07-02T14:39:45+02:00,2014-07-02T16:06:03+02:00,5178,49.8599714683,8.6717798581,,
7/2/14,Place in Darmstadt,2014-07-02T16:12:37+02:00,2014-07-02T16:18:51+02:00,374,49.8613622066,8.6677592806,,
7/2/14,Place in Darmstadt,2014-07-02T16:31:45+02:00,2014-07-02T16:35:22+02:00,217,49.8728270312,8.6551163231,,
7/2/14,Place in TU Darmstadt,2014-07-02T16:40:11+02:00,2014-07-02T17:17:05+02:00,2214,49.8734474315,8.6604081896,,
7/2/14,Place in Darmstadt,2014-07-02T17:31:01+02:00,2014-07-03T00:00:00+02:00,23339,49.8819681239,8.6703339401,,
7/3/14,Place in Darmstadt,2014-07-03T00:00:00+02:00,2014-07-03T09:45:37+02:00,35137,49.8819681239,8.6703339401,,
7/3/14,Place in TU Darmstadt,2014-07-03T10:00:12+02:00,2014-07-03T10:44:37+02:00,2665,49.8734474315,8.6604081896,,
7/3/14,Place in TU Darmstadt / S2,2014-07-03T10:52:24+02:00,2014-07-03T16:12:58+02:00,19234,49.877662904,8.654577692,,
7/3/14,Place in Darmstadt,2014-07-03T18:23:04+02:00,2014-07-03T18:45:57+02:00,1373,49.8819681239,8.6703339401,,
7/3/14,Place in Darmstadt,2014-07-03T19:07:07+02:00,2014-07-04T00:00:00+02:00,17573,49.8819681239,8.6703339401,,
7/4/14,Place in Darmstadt,2014-07-04T00:00:00+02:00,2014-07-04T09:42:00+02:00,34920,49.8819681239,8.6703339401,,
7/4/14,Place in Darmstadt,2014-07-04T09:46:40+02:00,2014-07-04T09:51:20+02:00,280,49.8822491921,8.6660203318,,
7/4/14,Place in Luisenplatz,2014-07-04T10:03:50+02:00,2014-07-04T10:20:50+02:00,1020,49.8724823523,8.6505548743,,
7/4/14,Place in Darmstadt,2014-07-04T10:27:45+02:00,2014-07-04T10:35:50+02:00,485,49.8705208177,8.6507964562,,
7/4/14,Place in Darmstadt,2014-07-04T10:43:48+02:00,2014-07-04T10:51:48+02:00,480,49.8708322551,8.6537079152,,
7/4/14,Place in Darmstadt,2014-07-04T10:59:08+02:00,2014-07-04T11:12:54+02:00,826,49.8728270312,8.6551163231,,
7/4/14,Place in Darmstadt,2014-07-04T11:24:40+02:00,2014-07-04T12:51:02+02:00,5182,49.8829100725,8.6682008619,,
7/4/14,Place in Darmstadt,2014-07-04T12:53:43+02:00,2014-07-04T17:54:26+02:00,18043,49.8821677347,8.6695544869,,
7/4/14,Place in Darmstadt,2014-07-04T17:58:32+02:00,2014-07-04T21:08:04+02:00,11372,49.8829100725,8.6682008619,,
7/4/14,Place in Luisenplatz,2014-07-04T21:49:20+02:00,2014-07-04T21:53:04+02:00,224,49.8727024501,8.6509480091,,
7/4/14,Place in Friedensplatz,2014-07-04T21:59:35+02:00,2014-07-04T22:05:49+02:00,374,49.8732497892,8.6536668045,,
7/4/14,Place in Friedensplatz,2014-07-04T22:10:21+02:00,2014-07-04T22:40:19+02:00,1798,49.8745041556,8.6536233016,,
7/4/14,Place in Darmstadt,2014-07-04T23:06:47+02:00,2014-07-04T23:56:40+02:00,2993,49.8829100725,8.6682008619,,
7/5/14,Place in Darmstadt,2014-07-05T00:00:48+02:00,2014-07-05T11:02:47+02:00,39719,49.8819681239,8.6703339401,,
7/5/14,Place in TU Darmstadt / S2,2014-07-05T11:09:05+02:00,2014-07-05T11:20:01+02:00,656,49.877662904,8.654577692,,
7/5/14,Place in Darmstadt,2014-07-05T11:27:30+02:00,2014-07-05T11:36:32+02:00,542,49.8830739791,8.6438776023,,
7/5/14,Place in TU Darmstadt / S2,2014-07-05T11:44:13+02:00,2014-07-05T17:29:14+02:00,20701,49.877662904,8.654577692,,
7/5/14,Place in Darmstadt,2014-07-05T17:36:40+02:00,2014-07-06T00:00:00+02:00,23000,49.8819681239,8.6703339401,,
