Date,Activity,Group,Duration,Distance,Steps,Calories
6/26/14,walking,walking,553,0.397,794,0
6/27/14,walking,walking,4224,4.804,6607,0
6/27/14,transport,transport,466,1.933,0,0
6/28/14,walking,walking,5206,4.706,8156,0
6/28/14,cycling,cycling,4832,16.424,0,0
6/28/14,transport,transport,224,0.468,0,0
6/29/14,walking,walking,582,0.523,964,0
6/30/14,walking,walking,3930,5.726,6587,0
6/30/14,transport,transport,227,1.711,0,0
6/30/14,cycling,cycling,1660,6.608,0,0
7/1/14,walking,walking,8598,9.836,13234,0
7/1/14,transport,transport,1467,4.408,0,0
7/2/14,walking,walking,3329,4.011,5246,0
7/2/14,transport,transport,1561,5.742,0,0
7/3/14,walking,walking,2576,3.187,4159,0
7/3/14,transport,transport,390,1.101,0,0
7/3/14,cycling,cycling,1271,4.718,0,0
7/4/14,walking,walking,7709,6.796,10960,0
7/4/14,transport,transport,1905,6.754,0,0
7/5/14,walking,walking,1750,1.905,2560,0
7/5/14,cycling,cycling,1733,6.832,0,0
7/6/14,walking,walking,152,0.084,134,0
7/7/14,walking,walking,7962,8.825,12057,0
7/8/14,walking,walking,4396,4.553,7168,0
7/8/14,transport,transport,1078,3.657,0,0
7/9/14,walking,walking,3533,4.292,5467,0
7/10/14,walking,walking,6995,9.679,12010,0
7/10/14,transport,transport,2570,33.046,0,0
7/10/14,running,running,121,0.418,319,0
7/11/14,walking,walking,4340,3.944,6433,0
7/11/14,transport,transport,396,0.690,0,0
7/12/14,walking,walking,5154,5.242,8375,0
7/12/14,transport,transport,388,1.536,0,0
7/13/14,walking,walking,3266,4.174,5463,0
7/14/14,walking,walking,2890,2.791,4790,0
7/14/14,transport,transport,1099,3.375,0,0
7/15/14,walking,walking,6337,6.384,9689,0
7/15/14,transport,transport,549,1.944,0,0
7/16/14,walking,walking,1256,1.301,2077,0
7/16/14,transport,transport,426,1.064,0,0
7/17/14,walking,walking,3723,4.939,5958,0
7/18/14,walking,walking,641,0.581,992,0
7/19/14,walking,walking,1772,1.762,2567,0
7/20/14,walking,walking,260,0.173,342,0
7/21/14,walking,walking,4720,4.804,7790,0
7/21/14,transport,transport,381,0.957,0,0
7/22/14,walking,walking,2418,2.224,3735,0
7/22/14,transport,transport,1584,5.068,0,0
7/23/14,walking,walking,2152,1.951,3048,0
7/23/14,transport,transport,524,2.871,0,0
7/24/14,walking,walking,350,0.349,500,0
7/25/14,walking,walking,2736,2.881,4189,0
7/25/14,transport,transport,838,2.000,0,0
7/26/14,walking,walking,293,0.242,447,0
7/27/14,walking,walking,5146,4.942,8060,0
7/27/14,transport,transport,844,2.096,0,0
7/28/14,walking,walking,2211,2.684,3300,0
7/28/14,transport,transport,581,1.706,0,0
7/29/14,walking,walking,4292,4.681,6761,0
7/29/14,cycling,cycling,467,1.621,0,0
7/30/14,walking,walking,4381,5.180,6804,0
7/30/14,transport,transport,1698,5.562,0,0
7/30/14,cycling,cycling,1680,5.729,0,0
7/31/14,walking,walking,6312,7.968,10384,0
7/31/14,transport,transport,305,0.799,0,0
8/1/14,walking,walking,2386,2.334,3710,0
8/1/14,transport,transport,1822,7.146,0,0
8/2/14,walking,walking,5388,5.924,8738,0
8/2/14,transport,transport,1581,5.453,0,0
8/3/14,walking,walking,8923,9.616,12900,0
8/3/14,transport,transport,14760,173.074,0,0
8/4/14,walking,walking,5257,5.131,7270,0
8/4/14,transport,transport,11417,70.418,0,0
8/5/14,walking,walking,4560,4.770,7305,0
8/5/14,transport,transport,2412,6.790,0,0
8/5/14,cycling,cycling,2560,9.322,0,0
8/6/14,walking,walking,2826,2.619,4703,0
8/6/14,transport,transport,2188,7.502,0,0
8/7/14,walking,walking,4418,4.331,7002,0
8/7/14,transport,transport,1344,5.296,0,0
8/8/14,walking,walking,58,0.036,64,0
8/9/14,walking,walking,3532,3.442,5543,0
8/9/14,transport,transport,435,0.891,0,0
8/10/14,walking,walking,844,0.872,1006,0
8/11/14,walking,walking,4802,5.932,8108,0
8/11/14,transport,transport,2337,7.959,0,0
8/12/14,walking,walking,4587,5.708,7986,0
8/12/14,transport,transport,1631,7.537,0,0
8/13/14,walking,walking,6867,7.426,10731,0
8/13/14,transport,transport,1677,6.197,0,0
8/14/14,walking,walking,813,0.810,1293,0
8/14/14,transport,transport,423,1.831,0,0
8/28/14,walking,walking,4064,4.836,6397,0
8/28/14,transport,transport,1710,6.399,0,0
8/28/14,cycling,cycling,1324,4.699,0,0
8/29/14,walking,walking,2743,3.068,4084,0
8/29/14,transport,transport,616,2.757,0,0
8/30/14,walking,walking,825,0.787,1105,0
8/31/14,walking,walking,563,0.522,774,0
8/31/14,cycling,cycling,2197,8.284,0,0
9/1/14,walking,walking,2901,3.067,4400,0
9/1/14,cycling,cycling,507,1.167,0,0
9/1/14,transport,transport,287,1.070,0,0
9/2/14,walking,walking,2931,3.592,4451,0
9/2/14,transport,transport,2273,7.450,0,0
9/2/14,cycling,cycling,223,0.606,0,0
9/3/14,walking,walking,1115,0.903,1550,0
9/3/14,cycling,cycling,2375,9.552,0,0
9/4/14,walking,walking,3743,4.548,6579,0
9/4/14,cycling,cycling,151,0.689,0,0
9/4/14,transport,transport,118,0.490,0,0
9/5/14,walking,walking,3833,4.634,6646,0
9/5/14,transport,transport,2035,6.280,0,0
9/6/14,walking,walking,7504,8.163,11191,0
9/6/14,transport,transport,5953,67.543,0,0
9/7/14,walking,walking,1721,2.042,2444,0
9/7/14,transport,transport,934,3.631,0,0
9/8/14,walking,walking,1536,1.594,2319,0
9/8/14,cycling,cycling,2324,9.217,0,0
9/8/14,transport,transport,337,0.591,0,0
9/9/14,walking,walking,3349,3.385,4837,0
9/9/14,transport,transport,2774,5.519,0,0
9/10/14,walking,walking,1913,1.871,2904,0
9/10/14,transport,transport,976,4.428,0,0
9/11/14,walking,walking,3325,3.941,5248,0
9/11/14,transport,transport,2135,6.947,0,0
9/12/14,walking,walking,608,0.545,839,0
9/13/14,walking,walking,699,0.564,1026,0
9/14/14,walking,walking,514,0.444,644,0
9/15/14,walking,walking,845,0.767,1087,0
9/15/14,cycling,cycling,353,0.945,0,0
9/16/14,walking,walking,1964,2.064,3057,0
9/16/14,transport,transport,1227,4.765,0,0
9/17/14,walking,walking,770,0.586,1162,0
9/18/14,walking,walking,6050,6.706,8935,0
9/18/14,transport,transport,523,2.692,0,0
9/19/14,walking,walking,336,0.219,421,0
9/20/14,walking,walking,1813,1.410,2481,0
9/20/14,cycling,cycling,1679,5.673,0,0
9/21/14,walking,walking,543,0.558,793,0
9/22/14,walking,walking,4553,5.063,6683,0
9/22/14,transport,transport,881,3.139,0,0
9/23/14,walking,walking,4156,3.774,5865,0
9/23/14,cycling,cycling,711,2.957,0,0
9/23/14,transport,transport,633,1.089,0,0
9/24/14,walking,walking,6669,7.758,10247,0
9/25/14,walking,walking,3962,5.079,6446,0
9/25/14,transport,transport,948,4.517,0,0
9/26/14,walking,walking,2052,2.184,3214,0
9/27/14,walking,walking,1923,2.179,3196,0
9/28/14,walking,walking,1997,2.275,3129,0
9/29/14,walking,walking,5433,5.437,8621,0
9/29/14,transport,transport,1110,2.898,0,0
9/30/14,walking,walking,1984,2.050,3238,0
10/1/14,walking,walking,449,0.368,615,0
10/2/14,walking,walking,1787,1.626,2426,0
10/2/14,transport,transport,129,0.537,0,0
10/2/14,cycling,cycling,171,0.449,0,0
10/3/14,walking,walking,784,0.795,1126,0
10/4/14,walking,walking,949,0.805,1232,0
10/5/14,walking,walking,1653,1.783,2428,0
10/6/14,walking,walking,2279,2.667,3483,0
10/6/14,transport,transport,520,0.925,0,0
10/7/14,walking,walking,2079,3.213,3236,0
10/7/14,transport,transport,563,1.539,0,0
10/8/14,walking,walking,668,0.519,803,0
10/9/14,walking,walking,5313,6.570,8369,0
10/9/14,transport,transport,965,3.576,0,0
10/10/14,walking,walking,8150,8.891,11271,0
10/10/14,transport,transport,17629,268.789,0,0
10/11/14,walking,walking,3299,3.431,4860,0
10/12/14,walking,walking,842,0.772,1089,0
10/13/14,walking,walking,3608,4.515,6047,0
10/13/14,transport,transport,2549,9.510,0,0
10/14/14,walking,walking,5749,6.561,8580,0
10/14/14,transport,transport,1955,6.326,0,0
10/15/14,walking,walking,2487,2.291,3468,0
10/15/14,transport,transport,3435,7.680,0,0
10/15/14,cycling,cycling,1137,4.022,0,0
10/16/14,walking,walking,3607,3.990,5338,0
10/16/14,transport,transport,2360,5.939,0,0
10/16/14,cycling,cycling,1447,4.145,0,0
10/17/14,walking,walking,4886,4.906,7447,0
10/17/14,transport,transport,3342,8.842,0,0
10/18/14,walking,walking,974,0.812,1302,0
10/18/14,transport,transport,141,0.499,0,0
10/18/14,cycling,cycling,169,0.527,0,0
10/19/14,walking,walking,4344,5.148,6646,0
10/19/14,transport,transport,4704,44.742,0,0
